,EPAssetsId,Province,LicenceNumber,UWI,CurrentOperator,CurrentOperatorParent,CurrentOperatorParentName,Licensee,LicenseeParentCompany,LicenseeParentCompanyName,LicenceDate,CurrentStatus,CurrentStatusStandardised,WellType,WellTypeStandardised,ConfidentialReleaseDate,AbandonDate,SurfAbandonDate,WellName,Formation,Field,Pool,SurveySystem,Surf_Location,Surf_Township,Surf_Meridian,Surf_Range,Surf_Section,Surf_LSD,Surf_Longitude,Surf_Latitude,Surf_TownshipRange,Surf_QuarterUnit,Surf_Unit,Surf_Block,Surf_NTSMapSheet,Surf_Series,Surf_Area,Surf_Sheet,Surf_QuarterSection,BH_Location,BH_TownshipRange,BH_QuarterUnit,BH_Unit,BH_Block,BH_NTSMapSheet,BH_Series,BH_Area,BH_Sheet,BH_QuarterSection,BH_Longitude,BH_Latitude,BH_Township,BH_Meridian,BH_Range,BH_Section,BH_LSD,GroundElevation,KBElevation,TotalDepth,LaheeClass,Confidential,SurfaceOwner,OSArea,OSDeposit,DrillingContractor,SpudDate,FinalDrillDate,RigReleaseDate,DaysDrilling,DrillMetresPerDay,TVD,WellProfile,Country,RegulatoryAgency,PSACAreaCode,PSACAreaName,ProjectedDepth,StatusDate,StatusSource,UnitID,UnitName,UnitFlag,Municipality,CompletionDate,Agent,_Completed`Flag,_Perf`Flag,Match
43,2616530,Alberta,0491487,103010905422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-10-18 00:00:00.000,Pumping,Active,Gas,Gas,,,,PEYTO SUNDANCE 1-9-54-22,Cardium,Sundance,Cardium Undefined,DLS,05-09-054-22-W5,54,W5,22,9,5,-117.194268,53.64885699999999,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,01-09-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.17161599999999,53.643502000000005,54,W5,22,9,1,1052.4,1058.2,3800.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Cwc Energy Services Corp.,2018-12-07 00:00:00.000,2018-12-18 00:00:00.000,2018-12-21 00:00:00.000,11.0,345.45,2297.45,Directional,Canada,AER,AB2,Foothills Front,3900.0,2020-01-02 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
44,2619843,Alberta,0493861,100080805422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-02-25 00:00:00.000,Pumping,Active,Gas,Gas,,,,PEYTO SUNDANCE 8-8-54-22,Cardium,Sundance,Cardium Undefined,DLS,16-07-054-22-W5,54,W5,22,7,16,-117.220225,53.655689,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,08-08-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.195747,53.647,54,W5,22,8,8,1140.3,1146.0,4145.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2019-02-28 00:00:00.000,2019-03-11 00:00:00.000,2019-03-13 00:00:00.000,11.0,376.82,2393.86,Directional,Canada,AER,AB2,Foothills Front,4125.0,2019-09-05 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
45,2614461,Alberta,0490190,103080505422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-07-25 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 8-5-54-22,Cardium,Sundance,Cardium Undefined,DLS,08-06-054-22-W5,54,W5,22,6,8,-117.22048999999998,53.633324,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,08-05-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.19576799999999,53.63369399999999,54,W5,22,5,8,1010.9,1016.4,3832.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-11-27 00:00:00.000,2018-12-05 00:00:00.000,2018-12-07 00:00:00.000,8.0,479.0,2293.96,Directional,Canada,AER,AB2,Foothills Front,,2019-01-16 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
46,2614462,Alberta,0490189,102040405422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-07-25 00:00:00.000,Pumping,Active,Gas,Gas,,,,PEYTO SUNDANCE 4-4-54-22,Cardium,Sundance,Cardium Undefined,DLS,08-06-054-22-W5,54,W5,22,6,8,-117.22048999999998,53.633280000000006,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,04-04-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-117.192793,53.63001,54,W5,22,4,4,1010.9,1016.4,4032.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-12-08 00:00:00.000,2018-12-17 00:00:00.000,2018-12-19 00:00:00.000,9.0,448.0,2296.33,Directional,Canada,AER,AB2,Foothills Front,,2019-01-20 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
47,2616529,Alberta,0491486,100060305422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-10-18 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 6-3-54-22,Cardium,Sundance,Cardium Undefined,DLS,03-09-054-22-W5,54,W5,22,9,3,-117.186466,53.644194999999996,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,06-03-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-117.16258799999999,53.634179,54,W5,22,3,6,1022.7,1028.3,4083.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-11-13 00:00:00.000,2018-11-23 00:00:00.000,2018-11-25 00:00:00.000,10.0,408.3,2262.19,Directional,Canada,AER,AB2,Foothills Front,4225.0,2018-12-09 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
274,2597721,Alberta,0481296,102141605112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2016-11-07 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ 102 PEMBINA 14-16-51-12,Cardium,Pembina,Cardium,DLS,13-09-051-12-W5,51,W5,12,9,13,-115.71891399999998,53.394643,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-16-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.709419,53.409277,51,W5,12,16,14,970.1,975.8,3614.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-03-03 00:00:00.000,2018-03-10 00:00:00.000,2018-03-11 00:00:00.000,7.0,516.29,1771.3,Horizontal,Canada,AER,AB2,Foothills Front,3850.0,2018-03-28 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
275,2597722,Alberta,0481295,100141605112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2016-11-07 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 14-16-51-12,Cardium,Pembina,Cardium,DLS,13-09-051-12-W5,51,W5,12,9,13,-115.71928899999999,53.394642000000005,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-16-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.71441100000001,53.409277,51,W5,12,16,14,970.6,975.4,3431.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-01-17 00:00:00.000,2017-02-03 00:00:00.000,2017-02-06 00:00:00.000,17.0,201.82,1770.62,Horizontal,Canada,AER,AB2,Foothills Front,3600.0,2017-04-05 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
276,2597720,Alberta,0481294,100131605112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2016-11-07 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 13-16-51-12,Cardium,Pembina,Cardium,DLS,13-09-051-12-W5,51,W5,12,9,13,-115.71966499999999,53.394641,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-16-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.71931299999999,53.409268000000004,51,W5,12,16,13,970.7,975.5,3299.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-01-16 00:00:00.000,2017-01-25 00:00:00.000,2017-01-27 00:00:00.000,9.0,366.56,1769.52,Horizontal,Canada,AER,AB2,Foothills Front,3450.0,2017-04-05 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
277,2599251,Alberta,0482204,100161405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-04 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 16-14-51-12,Cardium,Pembina,Cardium,DLS,15-11-051-12-W5,51,W5,12,11,15,-115.65963700000002,53.394498,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,16-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.649373,53.409276,51,W5,12,14,16,979.1,983.4,3575.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-02-07 00:00:00.000,2017-02-15 00:00:00.000,2017-02-17 00:00:00.000,8.0,446.88,1747.93,Horizontal,Canada,AER,AB2,Foothills Front,3900.0,2017-04-05 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
278,2599250,Alberta,0482203,102151405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-04 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ 102 PEMBINA 15-14-51-12,Cardium,Pembina,Cardium,DLS,15-11-051-12-W5,51,W5,12,11,15,-115.65964299999999,53.394273999999996,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,15-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.654423,53.409268999999995,51,W5,12,14,15,978.8,983.7,3388.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-02-22 00:00:00.000,2018-02-28 00:00:00.000,2018-03-01 00:00:00.000,6.0,564.67,1751.39,Horizontal,Canada,AER,AB2,Foothills Front,3600.0,2018-03-18 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
