x1,ep_assets_id,province,licence_number,uwi,current_operator,current_operator_parent,current_operator_parent_name,licensee,licensee_parent_company,licensee_parent_company_name,licence_date,current_status,current_status_standardised,well_type,well_type_standardised,confidential_release_date,abandon_date,surf_abandon_date,well_name,formation,field,pool,survey_system,surf_location,surf_township,surf_meridian,surf_range,surf_section,surf_lsd,surf_longitude,surf_latitude,surf_township_range,surf_quarter_unit,surf_unit,surf_block,surf_nts_map_sheet,surf_series,surf_area,surf_sheet,surf_quarter_section,bh_location,bh_township_range,bh_quarter_unit,bh_unit,bh_block,bh_nts_map_sheet,bh_series,bh_area,bh_sheet,bh_quarter_section,bh_longitude,bh_latitude,bh_township,bh_meridian,bh_range,bh_section,bh_lsd,ground_elevation,kb_elevation,total_depth,lahee_class,confidential,surface_owner,os_area,os_deposit,drilling_contractor,spud_date,final_drill_date,rig_release_date,days_drilling,drill_metres_per_day,tvd,well_profile,country,regulatory_agency,psac_area_code,psac_area_name,projected_depth,status_date,status_source,unit_id,unit_name,unit_flag,municipality,completion_date,agent,completed_flag,perf_flag,match,lateral_dist_m,cum_condensate_production_bbls,cum_gas_production_m_mcf,cum_oil_production_bbls,cum_production_hours,cum_water_production_bbls,prod_hours_vs_drill_date
43,2616530,Alberta,0491487,103010905422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-10-18T00:00:00Z,Pumping,Active,Gas,Gas,NA,NA,NA,PEYTO SUNDANCE 1-9-54-22,Cardium,Sundance,Cardium Undefined,DLS,05-09-054-22-W5,54,W5,22,9,5,-117.194268,53.64885699999999,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,01-09-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.17161599999999,53.643502000000005,54,W5,22,9,1,1052.4,1058.2,3800,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Cwc Energy Services Corp.,2018-12-07T00:00:00Z,2018-12-18T00:00:00Z,2018-12-21T00:00:00Z,11,345.45,2297.45,Directional,Canada,AER,AB2,Foothills Front,3900,2020-01-02T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1614.8585874571065,3724.1905800000004,681.82990656,0,8827,13418.03034,7.0947466563786e-5
44,2619843,Alberta,0493861,100080805422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-02-25T00:00:00Z,Pumping,Active,Gas,Gas,NA,NA,NA,PEYTO SUNDANCE 8-8-54-22,Cardium,Sundance,Cardium Undefined,DLS,16-07-054-22-W5,54,W5,22,7,16,-117.220225,53.655689,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,08-08-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.195747,53.647,54,W5,22,8,8,1140.3,1146,4145,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2019-02-28T00:00:00Z,2019-03-11T00:00:00Z,2019-03-13T00:00:00Z,11,376.82,2393.86,Directional,Canada,AER,AB2,Foothills Front,4125,2019-09-05T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1888.5881232544318,410.09496,351.54470808,0,7392,20217.933119999998,5.617567666155979e-5
45,2614461,Alberta,0490190,103080505422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-07-25T00:00:00Z,Flowing,Active,Gas,Gas,NA,NA,NA,PEYTO SUNDANCE 8-5-54-22,Cardium,Sundance,Cardium Undefined,DLS,08-06-054-22-W5,54,W5,22,6,8,-117.22048999999998,53.633324,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,08-05-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.19576799999999,53.63369399999999,54,W5,22,5,8,1010.9,1016.4,3832,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-11-27T00:00:00Z,2018-12-05T00:00:00Z,2018-12-07T00:00:00Z,8,479,2293.96,Directional,Canada,AER,AB2,Foothills Front,NA,2019-01-16T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1638.6142562360073,383.04882000000003,312.97035203999997,0,9119,17687.54658,7.396214539697371e-5
46,2614462,Alberta,0490189,102040405422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-07-25T00:00:00Z,Pumping,Active,Gas,Gas,NA,NA,NA,PEYTO SUNDANCE 4-4-54-22,Cardium,Sundance,Cardium Undefined,DLS,08-06-054-22-W5,54,W5,22,6,8,-117.22048999999998,53.633280000000006,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,04-04-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-117.192793,53.63001,54,W5,22,4,4,1010.9,1016.4,4032,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-12-08T00:00:00Z,2018-12-17T00:00:00Z,2018-12-19T00:00:00Z,9,448,2296.33,Directional,Canada,AER,AB2,Foothills Front,NA,2019-01-20T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1871.1554027358939,183.03318,135.0437952,0,9183,26769.3888,7.386012663114817e-5
47,2616529,Alberta,0491486,100060305422W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-10-18T00:00:00Z,Flowing,Active,Gas,Gas,NA,NA,NA,PEYTO SUNDANCE 6-3-54-22,Cardium,Sundance,Cardium Undefined,DLS,03-09-054-22-W5,54,W5,22,9,3,-117.186466,53.644194999999996,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,06-03-054-22-W5,054-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-117.16258799999999,53.634179,54,W5,22,3,6,1022.7,1028.3,4083,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-11-13T00:00:00Z,2018-11-23T00:00:00Z,2018-11-25T00:00:00Z,10,408.3,2262.19,Directional,Canada,AER,AB2,Foothills Front,4225,2018-12-09T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1936.3016271144227,1878.13428,576.96260796,0,10178,25863.02862,8.325153775683812e-5
274,2597721,Alberta,0481296,102141605112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2016-11-07T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ 102 PEMBINA 14-16-51-12,Cardium,Pembina,Cardium,DLS,13-09-051-12-W5,51,W5,12,9,13,-115.71891399999998,53.394643,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-16-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.709419,53.409277,51,W5,12,16,14,970.1,975.8,3614,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-03-03T00:00:00Z,2018-03-10T00:00:00Z,2018-03-11T00:00:00Z,7,516.29,1771.3,Horizontal,Canada,AER,AB2,Foothills Front,3850,2018-03-28T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1748.2349326632182,0,49.458377399999996,37619.92278,16050,0,1.6055651589359454e-4
275,2597722,Alberta,0481295,100141605112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2016-11-07T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 14-16-51-12,Cardium,Pembina,Cardium,DLS,13-09-051-12-W5,51,W5,12,9,13,-115.71928899999999,53.394642000000005,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-16-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.71441100000001,53.409277,51,W5,12,16,14,970.6,975.4,3431,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-01-17T00:00:00Z,2017-02-03T00:00:00Z,2017-02-06T00:00:00Z,17,201.82,1770.62,Horizontal,Canada,AER,AB2,Foothills Front,3600,2017-04-05T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1662.1238938588504,0,54.773254800000004,48713.87202,23277,0,3.5589131072948777e-4
276,2597720,Alberta,0481294,100131605112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2016-11-07T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 13-16-51-12,Cardium,Pembina,Cardium,DLS,13-09-051-12-W5,51,W5,12,9,13,-115.71966499999999,53.394641,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-16-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.71931299999999,53.409268000000004,51,W5,12,16,13,970.7,975.5,3299,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-01-16T00:00:00Z,2017-01-25T00:00:00Z,2017-01-27T00:00:00Z,9,366.56,1769.52,Horizontal,Canada,AER,AB2,Foothills Front,3450,2017-04-05T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1629.3780656492017,0,54.05283288,40803.19056,23164,0,3.58424935630818e-4
277,2599251,Alberta,0482204,100161405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-04T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 16-14-51-12,Cardium,Pembina,Cardium,DLS,15-11-051-12-W5,51,W5,12,11,15,-115.65963700000002,53.394498,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,16-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.649373,53.409276,51,W5,12,14,16,979.1,983.4,3575,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-02-07T00:00:00Z,2017-02-15T00:00:00Z,2017-02-17T00:00:00Z,8,446.88,1747.93,Horizontal,Canada,AER,AB2,Foothills Front,3900,2017-04-05T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1782.135374711764,0,68.29529172,47328.22908,24141,0,3.6334164138130325e-4
278,2599250,Alberta,0482203,102151405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-04T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ 102 PEMBINA 15-14-51-12,Cardium,Pembina,Cardium,DLS,15-11-051-12-W5,51,W5,12,11,15,-115.65964299999999,53.394273999999996,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,15-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.654423,53.409268999999995,51,W5,12,14,15,978.8,983.7,3388,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-02-22T00:00:00Z,2018-02-28T00:00:00Z,2018-03-01T00:00:00Z,6,564.67,1751.39,Horizontal,Canada,AER,AB2,Foothills Front,3600,2018-03-18T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1705.906810614989,0,59.0110308,44681.48124,15750,0,1.5892909038070328e-4
