unique_surv_id,wa_num,drilling_event,ground_elevtn,mean_ss_tvd,mean_ss_easting,mean_ss_northing,survey_well_type,on_prod_date,last_reported_date,cum_gas_to_date_e3m3,cum_oil_to_date_m3,cum_water_to_date_m3,cum_cond_to_date_m3,n_stages,frac_start_date,frac_end_date,calc_completed_length_m,mean_proppant_per_stage_t,sd_proppant_per_stage_t,max_proppant_per_stage_t,calc_total_proppant_t,total_gas_injected_m3,mean_fluid_per_stage_m3,sd_fluid_per_stage_m3,max_fluid_per_stage_m3,calc_total_fluid_m3,avg_stage_length,avg_stage_spacing,max_rate_m3_min,mean_rate_m3_min,max_stage_duration_min,mean_stage_duration_min,max_breakdown_mpa,sd_breakdown_mpa,mean_breakdown_mpa,max_isip_mpa,sd_isip_mpa,mean_isip_mpa,fluid_intensity_comp_length_m3_m,proppant_intensity_comp_length_t_m,completed_length_m,base_fluid_cat,viscosity_cat,energizer_bool,proppant_cat,frac_duration_days,calc_proppant_intensity_kg_m,calc_fluid_intensity_m3_m,breakdown_isip_ratio,no_prior_wells,no_surrounding_wells,min_midpoint_dist,min_dist_well,horiz_wells_in_1km,horiz_wells_in_5km,horiz_wells_in_10km,horiz_wells_in_25km,first_order_residual,isotherm,paleozoic_structure,raw_montney_top,third_order_residual,seismogenic,n_quakes
26709-0,26709,0,967,-1038.286881,541258.8972,6312071.186,horizontal,7/1/2016,9/1/2019,60090.8,0,3228.6,5.1,20,6/22/2016,6/24/2016,1797.805,81.75,14.53444185,85,1635,0,558.85,130.3981817,830.9,11177,84.705,80.5175,11.8,9.745,124.0149254,60.01667002,64,5.789325477,46.845,30.4,1.05039675,29.33333333,6.217025762,0.909442348,1797.805,water,slickwater,FALSE,sand,2,909.4423478,6.217025762,1.596988636,FALSE,FALSE,155.7768516,28070-0,3,11,11,11,-36.18073836,85.04657157,-1248.991716,2018.9723,57.17103941,TRUE,4
26851-0,26851,0,1023.8,-1066.814758,545866.1632,6316437.733,horizontal,10/1/2013,9/1/2019,16501.3,0,1284.3,459.3,8,9/30/2013,10/14/2013,1843.025,139.0625,32.85348155,175,1112.5,0,1743.4125,159.2377686,1971,13947.3,92.525,205.65625,9.8,8.85,240.3658537,198.313146,59,6.719428122,48.675,39,2.355388958,36.125,7.567613027,0.603627189,1843.025,water,slickwater,FALSE,sand,14,603.627189,7.567613027,1.347404844,FALSE,FALSE,198.2540708,29075-0,1,3,3,3,-60.37899318,78.53647716,-1176.143361,1891.19542,38.37392809,TRUE,2
27232-0,27232,0,1026.5,-1041.326136,546102.0775,6313238.866,horizontal,1/1/2014,9/1/2019,36857.6,0,2359.4,1008.1,9,1/12/2014,1/18/2014,1544.111111,70.64444444,32.94897992,118,635.8,0,1748.722222,425.9840836,2132.4,15738.5,117.6111111,144.6666667,10.9,9.866666667,222.125,175.68236,59.1,3.211697371,55.56666667,34.7,2.485960579,31.13333333,10.19259552,0.411757933,1544.111111,water,slickwater,FALSE,sand,6,411.7579334,10.19259552,1.784796574,FALSE,FALSE,3130.151589,29075-0,0,5,5,5,-56.81432964,84.21203684,-1198.455581,1904.202898,35.88535335,TRUE,1
27296-0,27296,0,989.6,-1009.757363,545620.7248,6308451.059,horizontal,7/1/2013,9/1/2019,108532.8,0,2097.9,345.9,8,7/6/2013,7/12/2013,1083.775,118.75,59.38674696,150,950,0,751.2625,354.4578554,973.6,6010.1,86.675,113.29375,12.1,9.7625,99.34693878,68.52221664,62,8.001919413,51.725,28,1.168637791,26.77142857,5.545523748,0.876565708,1083.775,water,slickwater,FALSE,sand,6,876.5657078,5.545523748,1.932097118,FALSE,FALSE,1261.589708,27584-0,0,1,1,1,-6.258351888,89.41645735,-1280.473172,1999.194236,78.19077135,FALSE,0
27302-0,27302,0,1045,-1118.887041,542922.7749,6315105.076,horizontal,10/1/2013,5/1/2019,69402.6,0,3968.6,1112,9,9/25/2013,9/29/2013,1681,132.7777778,23.46687973,175,1195,0,1643.355556,153.03748,1814,14790.2,120.5,160,10.5,8.566666667,279.5555556,197.8828362,41.1,2.08653088,38.68888889,40.8,3.550743271,32.95555556,8.798453302,0.710886377,1681,water,slickwater,FALSE,sand,4,710.8863772,8.798453302,1.173971679,FALSE,FALSE,19.25503195,27487-0,1,6,6,6,-37.9936029,90.30176579,-1220.128996,2160.073261,60.40532562,FALSE,0
27326-0,27326,0,1100.9,-1074.878942,541335.5276,6325353.003,horizontal,11/1/2013,9/1/2019,72294.2,0,5514.8,927.8,15,11/11/2013,11/15/2013,1463.3,99.46666667,2.065591118,100,1492,0,934.88,170.7657092,1365.9,14023.2,0,97.55333333,12.6,11.80666667,124.1584158,80.42570647,61,8.750118367,49.88,33,5.110912695,24.5,9.58327069,1.019613203,1463.3,water,slickwater,FALSE,sand,4,1019.613203,9.58327069,2.035918367,FALSE,FALSE,207.4757981,27508-0,1,1,4,4,-108.997979,85.16752561,-1093.19614,1957.981005,9.754360865,FALSE,0
27366-0,27366,0,1020.2,-1063.912279,544876.5772,6303945.383,horizontal,3/1/2014,9/1/2019,138218.9,0,2188.3,5.9,18,3/14/2014,3/17/2014,1680.7,99.99833333,2.819364238,104.49,1799.97,0,693.2722222,102.5800394,878.9,12478.9,0.1,93.36111111,11.2,10.25555556,109.1842105,69.39667762,34.3,1.711256466,31.16111111,31.6,1.02841969,30.33333333,7.42482299,1.070964479,1680.7,water,slickwater,FALSE,sand,3,1070.964479,7.42482299,1.027289377,FALSE,FALSE,400.0290746,27367-0,1,3,3,3,24.49588729,94.50637241,-1342.719775,2080.839299,100.9669334,FALSE,0
27367-0,27367,0,1020.1,-1064.613386,544664.9623,6303620.22,horizontal,3/1/2014,9/1/2019,206069.2,0,2185.7,5.2,20,3/18/2014,3/25/2014,1879,98.95,5.367942858,107.31,1979,0,690.145,147.8162532,1016.2,13802.9,0.1,93.94,11.2,10.085,122.2048193,70.52747047,38.3,3.051914843,33.645,28.9,1.951214197,27.025,7.345875466,1.053219798,1879,water,slickwater,FALSE,sand,7,1053.219798,7.345875466,1.244958372,FALSE,FALSE,400.0290746,27366-0,1,3,3,3,28.87860104,94.8773565,-1349.984357,2089.210826,104.9108897,FALSE,0
27451-0,27451,0,908.7,-985.9227619,544209.2403,6329951.104,horizontal,8/1/2013,9/1/2019,26684.6,0,3335.8,1356.1,10,8/2/2013,8/15/2013,1666.65,134.91,62.37195684,175.5,1349.1,0,1528,445.6017854,2005.5,15280,110.15,145.1,10.9,9.25,257.2769231,164.6659315,59,8.22773764,52.17,36.5,3.414609137,30.42,9.168091681,0.809468095,1666.65,water,slickwater,FALSE,sand,13,809.4680947,9.168091681,1.714990138,FALSE,FALSE,15.36221586,27612-0,1,1,1,1,-79.95157488,74.75205097,-1080.463243,1711.086822,45.28754913,FALSE,0
27487-0,27487,0,1044.8,-991.9575,542934.5776,6315105.723,horizontal,10/1/2013,5/1/2019,96660.9,0,2842.1,2647.3,15,9/29/2013,10/2/2013,1528.353333,101,3.872983346,115,1515,0,762.8733333,70.40341374,950.5,11443.1,0.153333333,101.87,9.2,8.786666667,103.4342105,87.10462105,44.1,4.425844014,32.86666667,29,1.634013464,27.35,7.487208455,0.991262928,1528.353333,water,slickwater,FALSE,sand,3,991.2629279,7.487208455,1.201706277,FALSE,FALSE,19.25503195,27302-0,1,6,6,6,-38.12501731,90.29748872,-1219.89858,2160.845496,60.31223036,FALSE,0
27505-0,27505,0,959.9,-1047.489127,543733.4549,6306299.706,horizontal,6/1/2017,9/1/2019,45738.9,0,3791.7,18.5,20,6/2/2017,6/3/2017,1753.745,70.2,3.577708764,71,1404,0,472.155,79.27838675,608,9443.1,82.645,79.285,12,10.775,68.31460674,44.98295584,48.6,4.02386303,39.39,27.2,0.793725393,26.15,5.38453424,0.800572489,1753.745,water,slickwater,FALSE,sand,1,800.5724892,5.38453424,1.506309751,FALSE,FALSE,1073.967036,32054-0,0,14,14,14,22.81886443,91.54674529,-1331.733069,2064.107476,104.172071,FALSE,0
27506-0,27506,0,960,-1064.226532,545031.5631,6304344.346,horizontal,6/1/2017,9/1/2019,67420.9,0,3369,26.2,28,6/4/2017,6/6/2017,2275.742857,61.53571429,12.87398221,67,1723,0,399.3214286,91.52950286,612.8,11181,77.54285714,75.79821429,9.1,8.785714286,80.4109589,46.06782962,53.5,4.042425473,40.125,28.5,2.484619354,25.63333333,4.91312099,0.757115416,2275.742857,water,slickwater,FALSE,sand,2,757.115416,4.91312099,1.565344603,FALSE,FALSE,377.7622763,27366-0,2,17,17,17,19.48356301,94.04504441,-1334.755285,2070.954702,96.3563809,FALSE,0
27508-0,27508,0,1100.9,-1010.920588,541086.8827,6325353.405,horizontal,11/1/2013,9/1/2019,66543.1,0,6189.2,1036.9,15,11/10/2013,11/21/2013,1382.2,84.73333333,34.58419678,123,1271,0,1099.526667,301.1476512,1653.1,16492.9,0,92.14666667,12,10.88666667,165.31,101.5309066,58.7,4.689146536,50.53333333,30.1,1.005603349,29.44666667,11.93235422,0.919548546,1382.2,water,slickwater,FALSE,sand,11,919.5485458,11.93235422,1.716096898,FALSE,FALSE,207.4757981,27326-0,1,1,4,4,-108.2864226,85.29373173,-1095.218359,1960.264601,10.44103597,FALSE,0
27565-0,27565,0,1056,-1096.239179,544645.6138,6301703.519,horizontal,4/1/2014,9/1/2019,182192.2,0,1466.9,0,20,4/18/2014,4/22/2014,2077.73,100.0015,2.765698303,104.66,2000.03,0,660.15,101.2640348,865.5,13203,98.13,94.0825,12,10.125,123.6428571,68.43166955,33.5,1.272006289,31.13,28,12.24465082,6.89,6.354531147,0.962603418,2077.73,water,slickwater,FALSE,sand,4,962.6034182,6.354531147,4.518142235,FALSE,FALSE,362.6426685,27807-0,1,5,5,5,37.09528504,97.56384389,-1370.50813,2121.934742,109.3356624,FALSE,0
27584-0,27584,0,989.7,-1014.286837,545978.2426,6307387.878,horizontal,7/1/2013,9/1/2019,109587.8,0,1639.4,107.9,11,7/6/2013,7/9/2013,1190.3,108.0045455,70.2814639,300,1188.05,0,659.3636364,307.9575402,1372,7253,0,108.2090909,12,10.51818182,114.3333333,57.35895606,47,6.663400715,26.90909091,28,1.809068067,26.54545455,6.093421826,0.99810972,1190.3,water,slickwater,FALSE,sand,3,998.1097202,6.093421826,1.01369863,FALSE,FALSE,1261.589708,27296-0,0,1,1,1,-7.111077854,89.33153316,-1285.288483,1995.184533,74.84057035,FALSE,0
27585-0,27585,0,991.9,-1015.656446,545797.4705,6306735.029,horizontal,8/1/2014,9/1/2019,169706.2,0,2589.1,118.8,25,8/9/2014,8/14/2014,1870.688,80.0008,2.794955158,83.6,2000.02,0,556.244,63.06910284,714.4,13906.1,70.988,69.132,12.1,10.308,91.58974359,55.79635305,58.6,5.116069455,51.24,27,0.804155872,25.8,7.433682153,1.069136061,1870.688,water,slickwater,FALSE,sand,5,1069.136061,7.433682153,1.986046512,FALSE,FALSE,639.7178999,27584-0,1,8,8,8,-1.271991972,90.29854087,-1295.594126,2011.251897,79.70737225,FALSE,0
