mean_ss_tvd,mean_ss_easting,mean_ss_northing,on_prod_date,frac_start_date,calc_completed_length_m,mean_proppant_per_stage_t,calc_total_proppant_t,total_gas_injected_m3,mean_fluid_per_stage_m3,calc_total_fluid_m3,avg_stage_length,avg_stage_spacing,mean_rate_m3_min,mean_stage_duration_min,mean_breakdown_mpa,mean_isip_mpa,fluid_intensity_comp_length_m3_m,proppant_intensity_comp_length_t_m,frac_duration_days,breakdown_isip_ratio,min_midpoint_dist,horiz_wells_in_10km,first_order_residual,isotherm,paleozoic_structure,raw_montney_top,third_order_residual,n_quakes
-1038.286881,541258.8972,6312071.186000001,46497874699.68582,46473233536.622925,1797.805,81.75,1635.0,0,558.85,11177.0,84.705,80.5175,9.745,60.01667002,46.845,29.33333333,6.2170257620000005,0.909442348,2,1.5969886359999999,155.7768516,11,-36.18073836,85.04657157,-1248.991716,2018.9723,57.17103941,4
-1066.814758,545866.1632,6316437.732999999,43749016064.669365,43746278157.66238,1843.025,139.0625,1112.5,0,1743.4125,13947.3,92.525,205.65625,8.85,198.313146,48.675,36.125,7.567613027,0.603627189,14,1.3474048440000002,198.25407080000002,3,-60.37899318,78.53647716,-1176.143361,1891.19542,38.37392809,2
-1041.326136,546102.0775,6313238.866,44000903509.31231,44031020486.38918,1544.111111,70.64444444,635.8,0,1748.7222219999999,15738.5,117.6111111,144.66666669999998,9.866666667,175.68236000000002,55.56666667,31.13333333,10.19259552,0.41175793299999996,6,1.784796574,3130.151589,5,-56.81432964,84.21203684,-1198.4555810000002,1904.202898,35.88535335,1
-1009.757363,545620.7248,6308451.058999999,43497128620.02642,43510818155.06136,1083.775,118.75,950.0,0,751.2625,6010.1,86.675,113.29375,9.7625,68.52221664,51.725,26.77142857,5.545523748,0.876565708,6,1.9320971180000002,1261.589708,1,-6.258351887999999,89.41645735,-1280.473172,1999.194236,78.19077135,0
-1118.887041,542922.7749,6315105.076,43749016064.669365,43732588622.62743,1681.0,132.7777778,1195.0,0,1643.355556,14790.2,120.5,160.0,8.566666667,197.88283619999999,38.68888889,32.95555556,8.798453302,0.710886377,4,1.173971679,19.25503195,6,-37.9936029,90.30176579,-1220.1289960000001,2160.073261,60.40532562,0
-1074.878942,541335.5276,6325353.003,43833891181.88601,43861270251.955894,1463.3,99.46666667,1492.0,0,934.88,14023.2,0.0,97.55333333,11.80666667,80.42570647,49.88,24.5,9.58327069,1.019613203,4,2.035918367,207.4757981,4,-108.997979,85.16752561,-1093.19614,1957.981005,9.754360865,0
-1063.912279,544876.5772,6303945.382999999,44162440022.724625,44198032813.815475,1680.7,99.99833333,1799.97,0,693.2722222,12478.9,0.1,93.36111111,10.25555556,69.39667762,31.16111111,30.33333333,7.42482299,1.0709644790000001,3,1.027289377,400.0290746,3,24.49588729,94.50637241,-1342.719775,2080.8392989999998,100.9669334,0
-1064.613386,544664.9623,6303620.22,44162440022.724625,44208984441.84343,1879.0,98.95,1979.0,0,690.145,13802.9,0.1,93.94,10.085,70.52747047,33.645,27.025,7.345875466,1.053219798,7,1.244958372,400.0290746,3,28.87860104,94.87735649999999,-1349.984357,2089.210826,104.91088970000001,0
-985.9227619,544209.2403,6329951.103999999,43582003737.243065,43584741644.25005,1666.65,134.91,1349.1,0,1528.0,15280.0,110.15,145.1,9.25,164.6659315,52.17,30.42,9.168091681,0.809468095,13,1.714990138,15.36221586,1,-79.95157488,74.75205097,-1080.463243,1711.086822,45.28754913,0
-991.9575,542934.5776,6315105.722999999,43749016064.669365,43743540250.65539,1528.353333,101.0,1515.0,0,762.8733333,11443.1,0.15333333300000002,101.87,8.786666667,87.10462105,32.86666667,27.35,7.487208455,0.9912629279999999,3,1.201706277,19.25503195,6,-38.12501731,90.29748872,-1219.89858,2160.845496,60.31223036,0
-1047.489127,543733.4549,6306299.706,47415073547.02698,47417811454.033966,1753.745,70.2,1404.0,0,472.155,9443.1,82.645,79.285,10.775,44.98295584,39.39,26.15,5.38453424,0.8005724890000001,1,1.5063097509999999,1073.967036,14,22.81886443,91.54674529,-1331.733069,2064.107476,104.172071,0
-1064.2265320000001,545031.5631,6304344.346,47415073547.02698,47423287268.04794,2275.742857,61.53571429,1723.0,0,399.32142860000005,11181.0,77.54285714,75.79821429,8.785714286000001,46.06782962,40.125,25.63333333,4.91312099,0.757115416,2,1.5653446030000002,377.76227630000005,17,19.48356301,94.04504441,-1334.755285,2070.954702,96.3563809,0
-1010.9205880000001,541086.8827,6325353.405,43833891181.88601,43858532344.948906,1382.2,84.73333333,1271.0,0,1099.526667,16492.9,0.0,92.14666667,10.88666667,101.5309066,50.53333333,29.44666667,11.93235422,0.9195485459999999,11,1.7160968980000002,207.4757981,4,-108.28642260000001,85.29373173,-1095.218359,1960.264601,10.44103597,0
-1096.239179,544645.6138,6301703.518999999,44247315139.94127,44293859559.060074,2077.73,100.0015,2000.03,0,660.15,13203.0,98.13,94.0825,10.125,68.43166955,31.13,6.89,6.354531147,0.9626034179999999,4,4.518142235,362.6426685,5,37.09528504,97.56384389,-1370.5081300000002,2121.9347420000004,109.3356624,0
-1014.2868369999999,545978.2426,6307387.878,43497128620.02642,43510818155.06136,1190.3,108.0045455,1188.05,0,659.3636364,7253.0,0.0,108.20909089999999,10.51818182,57.35895606,26.90909091,26.54545455,6.093421826,0.99810972,3,1.01369863,1261.589708,1,-7.1110778539999995,89.33153316,-1285.288483,1995.1845329999999,74.84057035,0
-1015.6564460000001,545797.4705,6306735.029,44581339794.79387,44603243050.84978,1870.6879999999999,80.0008,2000.02,0,556.244,13906.1,70.988,69.132,10.308,55.79635305,51.24,25.8,7.4336821529999995,1.069136061,5,1.986046512,639.7178999,8,-1.2719919720000001,90.29854087,-1295.594126,2011.2518969999999,79.70737225,0
-1206.455373,545495.436,6308457.132,44581339794.79387,44595029329.82881,1167.5,85.07,1190.98,0,644.65,9025.1,76.9,72.69285714,10.42142857,63.17148903,37.83076923,31.73333333,7.730278372999999,1.020111349,3,1.192146089,125.77120090000001,6,-4.544870868,89.65365223,-1282.6222070000001,2003.841484,79.98436399,0
-839.0177777999999,544200.3718,6329950.365,43582003737.243065,43587479551.25704,1687.2222219999999,174.9777778,1574.8,0,1150.9222220000001,10358.3,120.7222222,160.9444444,10.38888889,110.8107061,57.8,25.36666667,6.13926243,0.933368456,6,2.278580815,15.36221586,1,-80.04385069,74.76340941,-1080.438377,1711.095698,45.18687922,0
-1121.291134,558273.8696,6303213.461,43749016064.669365,43710685366.571526,1597.1,160.446,1604.46,0,1384.78,13847.8,114.6,136.775,9.42,147.5480621,57.39,27.58,8.670590445,1.004608353,8,2.080855693,44.03000321,6,-61.63049309,75.15098628,-1199.586822,1875.9810129999998,6.316482006,0
-989.4038889000001,558277.6491,6303152.33,43749016064.669365,43710685366.571526,1680.8666670000002,175.1766667,1576.59,0,1619.133333,14572.2,120.36666670000001,160.0,9.577777778,169.6173365,55.87777778,29.37777778,8.669456233,0.937962559,8,1.90204236,44.03000321,6,-60.78339748,75.17325777,-1200.692161,1875.281862,7.16725269,0
-1099.381582,544316.1407,6301568.98,44247315139.94127,44282907931.03212,1918.4,100.9995,2019.99,0,729.055,14581.1,90.4,86.7625,9.99,77.0158157,33.085,28.7,7.600656797,1.0529555879999999,4,1.152787456,362.6426685,5,42.89502534,97.41080085,-1378.522859,2126.081349,115.079466,0
-1094.794437,547318.2791,6310026.0370000005,43749016064.669365,43759967692.69732,863.0,119.5,478.0,0,1563.15,6252.6,121.5,155.625,9.7,162.8124575,33.45,30.15,7.245191193999999,0.553881808,9,1.109452736,1864.41648,3,-53.89147869,81.39281942,-1215.507523,1886.191899,32.3148699,0
-1147.990446,548183.4134,6308515.512,43749016064.669365,43757229785.69033,1709.6,155.5,1555.0,0,1383.27,13832.7,123.1,146.4,9.75,140.9635988,37.6,26.19,8.091190922000001,0.90956949,13,1.4356624669999998,1864.41648,3,-48.56968636,81.16490253,-1226.401783,1867.0346940000002,34.14361919,0
-884.9784043,549684.4001,6342394.249,44915364449.64647,44499202584.58421,1481.9285710000001,45.28095238,950.9,0,620.9761905,13040.5,0.9285714290000001,70.47619048,5.680952381,121.39367079999998,38.57222222,23.0125,8.799681882,0.641663855,103,1.6761421930000002,1836.8520210000001,11,-46.34649637,74.04834759999999,-1011.4912289999999,1737.012538,97.21117092,3
-900.3434783,550649.9559,6341013.016,44915364449.64647,44518367933.63313,1624.136364,60.63636364,1334.0,0,660.5136364,14531.3,0.23636363600000002,73.80909091,8.880952381,79.1955839,34.9952381,28.78571429,8.94709356,0.8213596040000001,6,1.215715467,1836.8520210000001,13,-39.42916178,77.07348369,-1022.8457710000001,1746.494764,100.4917213,0
-907.6651162999999,541008.3469,6318112.2639999995,43414991409.816765,43390350246.75387,1653.52,149.01,1490.1,0,1152.76,11527.6,118.62,141.61,10.05,114.8397153,37.05,26.67,6.971551599,0.901168416,5,1.38920135,0.0,0,-92.22996833,81.75735057,-1156.203751,1930.4162370000001,13.13112291,0
-1194.108485,541124.4714,6312031.647000001,46497874699.68582,46486923071.65787,1705.473684,88.63157895,1684.0,0,706.9315789,13431.7,83.37368421,81.0,10.47368421,71.06948058,46.05789474,31.0,7.875641896,0.9874089620000001,3,1.48573854,155.7768516,11,-37.68936291,84.71521566,-1248.289025,2014.124793,55.71681353,4
-1068.703067,543077.3761,6315246.539,48085860763.73916,48066695414.69024,1424.4,157.5294118,2678.0,0,1721.629412,29267.7,0.1,83.77647059,11.65294118,149.6589765,39.02058824,31.32,20.54738837,1.880089862,3,1.245868079,206.9801675,24,-36.4513096,90.55662495,-1220.094841,2170.173814,62.17895296,0
-885.0994073999999,546203.0384,6354598.109,44162440022.724625,44137798859.66173,1768.0,175.0,1750.0,0,1180.19,11801.9,114.5,153.9,10.17,116.13283259999999,59.04,20.52,6.675282805,0.989819005,13,2.877192982,29.53826284,9,-72.34896959,73.45071453,-926.1813860999999,1660.433961,96.71864834,0
-771.9129677,549196.0636,6347598.535,43833891181.88601,43806512111.816124,2033.0818179999999,123.84545449999999,1362.3,0,1646.9727269999998,18116.7,112.5818182,163.63636359999998,8.718181818,189.3255349,53.0,25.85454545,8.910954708,0.670066491,6,2.0499296769999997,0.0,0,-50.69386814,72.01135816,-977.5544336000002,1648.0560580000001,102.4309258,0
-1220.077415,542437.5273,6301234.752,43833891181.88601,43658665133.43874,1959.04,151.0,1510.0,0,1514.13,15141.3,128.44,173.89,8.14,183.9669504,53.71,33.05,7.728938664,0.7707856909999999,6,1.625113464,215.35427599999997,1,69.84683521,94.45866186,-1416.21309,2126.0255859999997,142.41688380000002,0
